City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Villarrica,PY,-25.75,-56.4333,67.8,67,65,4.65,broken clouds
209,Dera Bugti,PK,29.0307,69.151,84.18,64,100,4.18,overcast clouds
210,Bulawayo,ZW,-20.15,28.5833,54.46,81,60,9.4,broken clouds
211,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,11,18.41,few clouds
212,Samarai,PG,-10.6167,150.6667,81.99,73,21,3.4,few clouds
213,Ozinki,RU,51.1786,49.6769,62.26,88,68,6.78,light rain
214,Dwarka,IN,22.2394,68.9678,82.44,81,100,18.66,overcast clouds
215,Warren,US,39.4334,-84.1666,88.29,57,0,5.75,clear sky
216,Soyo,AO,-6.1349,12.3689,69.12,90,22,8.12,few clouds
217,Saint George,US,37.1041,-113.5841,111.63,11,0,24.16,clear sky
218,Georgetown,MY,5.4112,100.3354,82.89,90,20,3.44,few clouds
219,Carutapera,BR,-1.195,-46.02,75.54,91,46,6.06,scattered clouds
220,Laredo,US,27.5064,-99.5075,106.09,26,20,17.27,few clouds
221,Nouadhibou,MR,20.931,-17.0347,69.04,94,15,5.5,few clouds
222,Nerchinskiy Zavod,RU,51.3088,119.61,69.76,80,29,2.77,scattered clouds
223,Tanakpur,IN,29.0833,80.1167,78.8,88,100,4.03,overcast clouds
224,San Javier,ES,37.8063,-0.8374,80.13,79,0,3.44,clear sky
225,Caucaia,BR,-3.7361,-38.6531,76.95,80,75,9.22,broken clouds
226,Zhezkazgan,KZ,47.8043,67.7144,72.77,40,48,9.17,scattered clouds
227,Srandakan,ID,-7.9386,110.2506,76.71,82,99,9.73,overcast clouds
228,Palu,ID,-0.8917,119.8707,79.03,89,89,2.06,overcast clouds
229,Niksar,TR,40.5917,36.9517,57.52,86,0,2.84,clear sky
230,Funadhoo,MV,6.15,73.2667,81.97,75,100,18.14,overcast clouds
231,Tigil,RU,57.8,158.6667,73.17,46,12,8.14,few clouds
232,Lodwar,KE,3.1191,35.5973,77.34,52,51,15.77,broken clouds
233,Mobaye,CF,4.319,21.1786,70.75,97,97,2.75,overcast clouds
234,Jacareacanga,BR,-6.2222,-57.7528,80.49,48,67,1.86,broken clouds
235,Auki,SB,-8.7676,160.7034,85.93,65,95,1.7,overcast clouds
236,Takoradi,GH,4.8845,-1.7554,73.31,77,66,7.61,broken clouds
237,Camacha,PT,33.0833,-16.3333,65.62,73,75,17.27,broken clouds
238,Abomey,BJ,7.1829,1.9912,71.64,84,93,5.79,overcast clouds
239,Zhumadian,CN,32.9794,114.0294,80.22,92,97,8.68,overcast clouds
240,Pierre,US,44.3683,-100.351,94.12,27,0,11.5,clear sky
241,Maragogi,BR,-9.0122,-35.2225,73.47,90,90,8.97,overcast clouds
242,Boa Vista,BR,2.8197,-60.6733,82.38,74,40,5.75,scattered clouds
243,Ailigandi,PA,9.2333,-78.0167,78.01,89,100,4.34,overcast clouds
244,Kaitangata,NZ,-46.2817,169.8464,44.98,85,97,2.24,overcast clouds
245,Yeppoon,AU,-23.1333,150.7333,64.18,79,13,12.17,few clouds
246,Narsaq,GL,60.9167,-46.05,57.42,80,10,4.83,clear sky
247,Ordynskoye,RU,54.3656,81.8994,60.37,91,13,12.46,few clouds
248,Lambarene,GA,-0.7001,10.2406,73.49,79,100,5.19,overcast clouds
249,Durban,ZA,-29.8579,31.0292,65.01,86,94,3.0,overcast clouds
250,Kleinbettingen,LU,49.6464,5.9164,61.84,89,2,1.01,clear sky
251,Suez,EG,29.9737,32.5263,74.46,74,1,8.59,clear sky
252,Orotukan,RU,62.2667,151.7,50.11,65,100,3.06,overcast clouds
253,Goias,BR,-15.5807,-49.6362,71.11,38,37,1.28,scattered clouds
254,Stornoway,GB,58.2093,-6.3865,53.92,88,75,4.61,broken clouds
255,Nemuro,JP,43.3236,145.575,60.48,84,0,3.83,clear sky
256,Kupang,ID,-10.1667,123.5833,78.78,67,99,13.69,overcast clouds
257,Novikovo,RU,51.1537,37.8879,53.74,97,89,7.81,overcast clouds
258,Westport,US,41.1415,-73.3579,88.48,86,0,5.75,clear sky
259,Searcy,US,35.2506,-91.7363,95.11,47,0,8.05,clear sky
260,Nhulunbuy,AU,-12.2333,136.7667,77.61,44,57,13.8,broken clouds
261,Aranos,NA,-24.1333,19.1167,52.84,43,0,10.51,clear sky
262,Fort Nelson,CA,58.8053,-122.7002,65.79,45,75,9.22,broken clouds
263,Lanzhou,CN,36.0564,103.7922,60.26,76,5,2.53,clear sky
264,Toamasina,MG,-18.1667,49.3833,66.2,94,75,2.3,light rain
265,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,78.42,40,0,2.15,clear sky
266,Sabancuy,MX,18.9667,-91.1833,84.02,71,30,7.74,scattered clouds
267,Sorong,ID,-0.8833,131.25,79.2,86,15,11.39,few clouds
268,Bani,DO,18.2833,-70.3333,78.85,77,7,9.19,clear sky
269,Hirara,JP,24.8,125.2833,86.27,79,40,9.22,scattered clouds
270,Nanortalik,GL,60.1432,-45.2371,49.39,77,4,6.24,clear sky
271,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,4.61,overcast clouds
272,Anzio,IT,41.4853,12.6179,81.73,99,0,7.92,clear sky
273,Owando,CG,-0.4819,15.8999,71.92,89,59,3.47,broken clouds
274,Olafsvik,IS,64.8945,-23.7142,52.97,88,71,7.05,broken clouds
275,Zwedru,LR,6.0667,-8.1281,71.37,87,100,3.42,overcast clouds
276,Faya,SA,18.3851,42.4509,66.31,62,66,5.57,broken clouds
277,Saint Peter,BB,13.25,-59.6167,81.16,89,26,1.01,scattered clouds
278,Huambo,AO,-12.7761,15.7392,58.08,36,67,1.39,broken clouds
279,Makakilo City,US,21.3469,-158.0858,86.32,54,75,21.85,broken clouds
280,Bandarbeyla,SO,9.4942,50.8122,76.51,77,13,27.94,few clouds
281,Buala,SB,-8.145,159.5921,84.56,69,71,3.18,light rain
282,Jucas,BR,-6.5253,-39.5275,71.74,68,69,1.88,broken clouds
283,Yantal,RU,56.8471,105.2542,64.81,66,100,2.77,overcast clouds
284,Pevek,RU,69.7008,170.3133,31.8,100,100,12.95,snow
285,Margate,GB,51.3813,1.3862,64.31,77,20,4.0,few clouds
286,Mazabuka,ZM,-15.856,27.748,60.42,65,38,7.92,scattered clouds
287,Xam Nua,LA,20.4197,104.0439,68.23,99,72,1.16,broken clouds
288,Mount Isa,AU,-20.7333,139.5,56.97,33,0,6.91,clear sky
289,Cherskiy,RU,68.75,161.3,49.17,41,98,12.33,overcast clouds
290,Pangody,RU,65.85,74.4859,43.72,86,100,8.84,overcast clouds
291,Hambantota,LK,6.1241,81.1185,78.64,83,100,16.55,overcast clouds
292,Anadyr,RU,64.75,177.4833,54.1,58,40,13.42,scattered clouds
293,Kyshtovka,RU,56.555,76.6271,57.42,98,98,6.98,light rain
294,Neryungri,RU,56.6709,124.6491,68.0,78,65,3.36,broken clouds
295,Muriwai Beach,NZ,-36.8167,174.45,54.86,76,14,7.45,few clouds
296,Tuatapere,NZ,-46.1333,167.6833,44.96,91,99,2.73,overcast clouds
297,El Alto,PE,-4.2714,-81.2147,69.46,78,46,14.05,scattered clouds
298,Teguldet,RU,57.3064,88.1667,56.62,95,72,6.33,broken clouds
299,Sakassou,CI,7.4546,-5.2926,75.04,96,52,4.63,broken clouds
300,Harper,LR,4.375,-7.7169,75.18,75,100,7.18,overcast clouds
301,Kholm-Zhirkovskiy,RU,55.5189,33.4731,53.31,94,0,8.05,clear sky
302,Thaton,MM,16.9206,97.3714,75.07,91,100,11.12,overcast clouds
303,Bowen,AU,-20.0167,148.2333,67.62,66,34,7.78,scattered clouds
304,Khandyga,RU,62.6667,135.6,80.33,47,41,5.41,scattered clouds
305,Nome,US,64.5011,-165.4064,48.27,72,100,11.5,overcast clouds
306,Havelock,US,34.8791,-76.9013,86.02,87,0,18.41,clear sky
307,Belaya Gora,RU,68.5333,146.4167,59.92,40,6,9.78,clear sky
308,Mana,GF,5.6592,-53.7767,77.99,86,25,8.19,scattered clouds
309,Dzerzhinskoye,RU,56.8344,95.2283,58.84,82,91,3.74,overcast clouds
310,Qui Nhon,VN,13.7667,109.2333,78.12,83,100,3.47,overcast clouds
311,Halifax,CA,44.6453,-63.5724,71.49,92,100,4.61,mist
312,Umm Lajj,SA,25.0213,37.2685,85.89,56,28,7.27,scattered clouds
313,Bambous Virieux,MU,-20.3428,57.7575,69.22,77,40,11.5,scattered clouds
314,Gwanda,ZW,-20.9333,29.0,59.0,79,86,6.82,overcast clouds
315,Sabla,NG,12.7525,4.7077,80.76,65,27,4.14,scattered clouds
316,Ocos,GT,14.5094,-92.1933,83.41,76,100,6.49,overcast clouds
317,Ambon,ID,-3.6954,128.1814,78.24,15,20,3.44,few clouds
318,Trincomalee,LK,8.5711,81.2335,78.73,85,73,16.24,broken clouds
319,Saint-Philippe,RE,-21.3585,55.7679,65.21,74,50,11.41,scattered clouds
320,Grand Forks,US,47.9417,-97.4337,84.13,42,0,9.22,clear sky
321,Fairbanks,US,64.8378,-147.7164,65.61,58,75,6.91,broken clouds
322,Nantong,CN,32.0303,120.8747,83.98,63,2,4.76,clear sky
323,Labuhan,ID,-6.8844,112.2051,76.82,79,85,11.16,overcast clouds
324,Sur,OM,22.5667,59.5289,86.25,72,88,10.2,overcast clouds
325,Raduzhnyy,RU,62.0961,77.475,52.38,82,100,10.18,overcast clouds
326,Catamarca,AR,-28.4696,-65.7852,60.58,53,55,7.43,broken clouds
327,Koungou,YT,-12.7336,45.2042,76.71,73,0,17.27,clear sky
328,Katherine,AU,-14.4667,132.2667,64.72,48,23,4.61,few clouds
329,Hovd,MN,48.0056,91.6419,64.15,40,88,3.4,overcast clouds
330,Mackay,AU,-21.15,149.2,67.68,72,23,7.07,few clouds
331,Lithgow,AU,-33.4833,150.15,44.91,96,99,10.33,overcast clouds
332,Omsukchan,RU,62.5333,155.8,57.22,47,1,9.89,clear sky
333,Vinukonda,IN,16.05,79.75,82.29,74,100,0.36,overcast clouds
334,Neiafu,TO,-18.65,-173.9833,81.28,74,20,10.36,few clouds
335,Ormara,PK,25.2088,64.6357,83.03,84,100,12.75,overcast clouds
